neighborhood_code,exposure_month,lst
3,2018_11_01,33.63272769432242
3,2018_11_02,
3,2018_11_03,37.631037354963155
3,2018_11_04,35.46901256683553
3,2018_11_05,
3,2018_11_06,
3,2018_11_07,
3,2018_11_08,
3,2018_11_09,
3,2018_11_10,39.063492798167154
3,2018_11_11,36.78720928963708
3,2018_11_12,37.61504610264478
3,2018_11_13,36.38572554832134
3,2018_11_14,
3,2018_11_15,
3,2018_11_16,
3,2018_11_17,
3,2018_11_18,
3,2018_11_19,38.35510457207301
3,2018_11_20,38.32519341286915
3,2018_11_21,37.395932419161
3,2018_11_22,34.88494180819081
3,2018_11_23,34.31
3,2018_11_24,
3,2018_11_25,
3,2018_11_26,
3,2018_11_27,36.422928290837724
3,2018_11_28,37.99629778489009
3,2018_11_29,
3,2018_11_30,
3,2018_12_01,32.97938648019472
3,2018_12_02,
3,2018_12_03,40.93076446731858
3,2018_12_04,36.44347934019507
3,2018_12_05,37.67281117011655
3,2018_12_06,38.02172034699781
3,2018_12_07,33.16565625795602
3,2018_12_08,40.10067326228522
3,2018_12_09,32.491410813662014
3,2018_12_10,39.794364656458576
3,2018_12_11,
3,2018_12_12,39.95959426035691
3,2018_12_13,
3,2018_12_14,
3,2018_12_15,
3,2018_12_16,34.20818017313523
3,2018_12_17,40.6709957989308
3,2018_12_18,
3,2018_12_19,41.237951023897764
3,2018_12_20,
3,2018_12_21,
3,2018_12_22,37.306381442549096
3,2018_12_23,34.51333393954792
3,2018_12_24,37.78868348306802
3,2018_12_25,29.345043465609468
3,2018_12_26,
3,2018_12_27,
3,2018_12_28,37.13042838176929
3,2018_12_29,
3,2018_12_30,35.083198086785984
3,2018_12_31,32.26895109664266
3,2019_01_01,
3,2019_01_02,31.02567562373023
3,2019_01_03,
3,2019_01_04,
3,2019_01_05,
3,2019_01_06,
3,2019_01_07,
3,2019_01_08,35.31794056668962
3,2019_01_09,39.166094187611634
3,2019_01_10,
3,2019_01_11,
3,2019_01_12,
3,2019_01_13,40.3950450114577
3,2019_01_14,39.92901684065064
3,2019_01_15,37.86035327174163
3,2019_01_16,39.65214154512
3,2019_01_17,34.817346324519214
3,2019_01_18,36.89860082566513
3,2019_01_19,
3,2019_01_20,35.15609946168095
3,2019_01_21,35.2804913068785
3,2019_01_22,
3,2019_01_23,30.601367399371966
3,2019_01_24,32.008721492743305
3,2019_01_25,40.35018913905323
3,2019_01_26,
3,2019_01_27,36.472443622012634
3,2019_01_28,
3,2019_01_29,26.54078307188229
3,2019_01_30,39.40506638053299
3,2019_01_31,
3,2019_02_01,42.63237524097022
3,2019_02_02,35.560482122721986
3,2019_02_03,41.20614556432502
3,2019_02_04,
3,2019_02_05,42.263329483868446
3,2019_02_06,37.31312715964009
3,2019_02_07,39.81883761321103
3,2019_02_08,
3,2019_02_09,35.41721947404806
3,2019_02_10,
3,2019_02_11,30.514370657985225
3,2019_02_12,43.15081184301423
3,2019_02_13,
3,2019_02_14,41.48450350998451
3,2019_02_15,
3,2019_02_16,38.51332220928993
3,2019_02_17,38.63800112755916
3,2019_02_18,30.813136434728747
3,2019_02_19,
3,2019_02_20,
3,2019_02_21,
3,2019_02_22,38.48521141745233
3,2019_02_23,38.069716018622955
3,2019_02_24,34.22969637725948
3,2019_02_25,32.07449641726997
3,2019_02_26,28.327487996944715
3,2019_02_27,
3,2019_02_28,36.92680982431934
3,2019_03_01,
3,2019_03_02,37.15390535772756
3,2019_03_03,26.203137162186536
3,2019_03_04,41.464400029098556
3,2019_03_05,32.82771279244673
3,2019_03_06,38.11068108245777
3,2019_03_07,44.29488833521285
3,2019_03_08,
3,2019_03_09,44.935085840032485
3,2019_03_10,35.016348797876205
3,2019_03_11,43.156866566034516
3,2019_03_12,37.226783181173914
3,2019_03_13,31.309820863492213
3,2019_03_14,41.12141972502146
3,2019_03_15,36.042794711381276
3,2019_03_16,49.334176972319774
3,2019_03_17,
3,2019_03_18,45.84045284254167
3,2019_03_19,
3,2019_03_20,41.09517686320118
3,2019_03_21,42.41277797984996
3,2019_03_22,
3,2019_03_23,39.809026115739
3,2019_03_24,
3,2019_03_25,45.343716764267725
3,2019_03_26,37.47369130324115
3,2019_03_27,41.710601243952695
3,2019_03_28,41.11980540501181
3,2019_03_29,38.24230478137076
3,2019_03_30,47.198058142072696
3,2019_03_31,
3,2019_04_01,43.71949214345492
3,2019_04_02,
3,2019_04_03,
3,2019_04_04,
3,2019_04_05,41.88743443785618
3,2019_04_06,41.689986632961414
3,2019_04_07,34.81860400829266
3,2019_04_08,46.774459771578016
3,2019_04_09,
3,2019_04_10,48.99087704142884
3,2019_04_11,44.40601853198996
3,2019_04_12,42.60925690175733
3,2019_04_13,47.180320536136364
3,2019_04_14,43.690610519041776
3,2019_04_15,49.462738878987594
3,2019_04_16,41.841454188339526
3,2019_04_17,46.965750281889726
3,2019_04_18,
3,2019_04_19,47.33610519041204
3,2019_04_20,42.638453970101295
3,2019_04_21,42.618641836104075
3,2019_04_22,46.2216417815436
3,2019_04_23,39.117150820208856
3,2019_04_24,50.8914005383183
3,2019_04_25,
3,2019_04_26,50.27849498054063
3,2019_04_27,36.87555241334201
3,2019_04_28,46.149820954424555
3,2019_04_29,43.71947332048107
3,2019_04_30,38.85335067107943
3,2019_05_01,43.469183064780346
3,2019_05_02,
3,2019_05_03,43.54247826719475
3,2019_05_04,
3,2019_05_05,47.7149843596553
3,2019_05_06,
3,2019_05_07,46.56984687011211
3,2019_05_08,43.7456047903098
3,2019_05_09,45.382232841086996
3,2019_05_10,50.61252818899324
3,2019_05_11,
3,2019_05_12,47.00675171861991
3,2019_05_13,39.68808287564113
3,2019_05_14,47.19522123813378
3,2019_05_15,38.49751945949873
3,2019_05_16,38.93590159313318
3,2019_05_17,45.63972783981391
3,2019_05_18,
3,2019_05_19,
3,2019_05_20,
3,2019_05_21,47.81327256028845
3,2019_05_22,42.299449496234786
3,2019_05_23,46.46070290619469
3,2019_05_24,47.77491406903544
3,2019_05_25,41.40824118866589
3,2019_05_26,
3,2019_05_27,
3,2019_05_28,48.17980876950503
3,2019_05_29,36.65352826173954
3,2019_05_30,42.0235304441137
3,2019_05_31,41.06545757101786
3,2019_06_01,40.5838663477981
3,2019_06_02,48.99885516313263
3,2019_06_03,37.288315207507864
3,2019_06_04,
3,2019_06_05,
3,2019_06_06,41.87205934237772
3,2019_06_07,39.90973456879881
3,2019_06_08,34.00699650820176
3,2019_06_09,34.90846582679714
3,2019_06_10,
3,2019_06_11,
3,2019_06_12,
3,2019_06_13,42.81349407121812
3,2019_06_14,
3,2019_06_15,46.4435464481871
3,2019_06_16,
3,2019_06_17,
3,2019_06_18,44.123386680245716
3,2019_06_19,
3,2019_06_20,44.52622285672782
3,2019_06_21,
3,2019_06_22,
3,2019_06_23,
3,2019_06_24,
3,2019_06_25,44.13132433710384
3,2019_06_26,
3,2019_06_27,41.77818080966094
3,2019_06_28,
3,2019_06_29,
3,2019_06_30,
3,2019_07_01,
3,2019_07_02,31.630000000000052
3,2019_07_03,
3,2019_07_04,32.07602452243549
3,2019_07_05,
3,2019_07_06,
3,2019_07_07,
3,2019_07_08,
3,2019_07_09,
3,2019_07_10,
3,2019_07_11,
3,2019_07_12,
3,2019_07_13,
3,2019_07_14,
3,2019_07_15,31.960613161597504
3,2019_07_16,
3,2019_07_17,
3,2019_07_18,
3,2019_07_19,
3,2019_07_20,42.27000000000004
3,2019_07_21,
3,2019_07_22,
3,2019_07_23,
3,2019_07_24,
3,2019_07_25,
3,2019_07_26,
3,2019_07_27,
3,2019_07_28,
3,2019_07_29,
3,2019_07_30,
3,2019_07_31,
3,2019_08_01,
3,2019_08_02,
3,2019_08_03,
3,2019_08_04,
3,2019_08_05,
3,2019_08_06,
3,2019_08_07,
3,2019_08_08,
3,2019_08_09,
3,2019_08_10,
3,2019_08_11,32.30704815771315
3,2019_08_12,
3,2019_08_13,
3,2019_08_14,
3,2019_08_15,
3,2019_08_16,38.80352680682383
3,2019_08_17,
3,2019_08_18,
3,2019_08_19,
3,2019_08_20,
3,2019_08_21,
3,2019_08_22,
3,2019_08_23,29.5920713454333
3,2019_08_24,
3,2019_08_25,
3,2019_08_26,
3,2019_08_27,
3,2019_08_28,
3,2019_08_29,
3,2019_08_30,
3,2019_08_31,
3,2019_09_01,
3,2019_09_02,
3,2019_09_03,
3,2019_09_04,
3,2019_09_05,
3,2019_09_06,
3,2019_09_07,
3,2019_09_08,
3,2019_09_09,
3,2019_09_10,
3,2019_09_11,
3,2019_09_12,27.750000000000057
3,2019_09_13,
3,2019_09_14,
3,2019_09_15,
3,2019_09_16,
3,2019_09_17,31.077532735605423
3,2019_09_18,
3,2019_09_19,
