,f2a_participant_id,exposure_month,village_code,landsat,modis,era5,landsat-7
0,220-10005,2019_02,48.0,40.08821222986947,38.2348921268167,26.515117717924568,36.415289820332205
1,220-10005,2019_03,48.0,46.72898431452053,41.5620396272472,26.74107343201996,44.96142181946783
2,220-10005,2019_04,48.0,46.46119407783038,45.298830287445085,29.628796619839136,49.61306978762682
3,220-10005,2019_05,48.0,50.08300338770957,44.09972891387292,28.34774094038113,47.60110091079813
4,220-10005,2019_06,48.0,43.33258232318131,42.81859910870272,28.413359938727524,46.8848055620004
5,220-10005,2019_07,48.0,48.88591412299246,36.20775105076708,28.323306758429453,39.39602339949384
6,220-10005,2019_08,48.0,36.76812262849325,35.32760095385661,26.84143842471548,34.1238737698574
7,220-10005,2019_09,48.0,39.8774831481413,31.47285361319492,27.11243046654596,17.517216522535946
8,220-10005,2019_10,48.0,41.26911620996496,33.15547072204497,27.66590687331336,25.935100392904936
9,220-10018,2019_02,48.0,40.08821222986947,38.2348921268167,26.515117717924568,36.415289820332205
10,220-10018,2019_03,48.0,46.72898431452053,41.5620396272472,26.74107343201996,44.96142181946783
11,220-10018,2019_04,48.0,46.46119407783038,45.298830287445085,29.628796619839136,49.61306978762682
12,220-10018,2019_05,48.0,50.08300338770957,44.09972891387292,28.34774094038113,47.60110091079813
13,220-10018,2019_06,48.0,43.33258232318131,42.81859910870272,28.413359938727524,46.8848055620004
14,220-10018,2019_07,48.0,48.88591412299246,36.20775105076708,28.323306758429453,39.39602339949384
15,220-10018,2019_08,48.0,36.76812262849325,35.32760095385661,26.84143842471548,34.1238737698574
16,220-10018,2019_09,48.0,39.8774831481413,31.47285361319492,27.11243046654596,17.517216522535946
17,220-10018,2019_10,48.0,41.26911620996496,33.15547072204497,27.66590687331336,25.935100392904936
18,220-10026,2019_04,48.0,46.46119407783038,45.298830287445085,29.628796619839136,49.61306978762682
19,220-10026,2019_05,48.0,50.08300338770957,44.09972891387292,28.34774094038113,47.60110091079813
20,220-10026,2019_06,48.0,43.33258232318131,42.81859910870272,28.413359938727524,46.8848055620004
21,220-10026,2019_07,48.0,48.88591412299246,36.20775105076708,28.323306758429453,39.39602339949384
22,220-10026,2019_08,48.0,36.76812262849325,35.32760095385661,26.84143842471548,34.1238737698574
23,220-10026,2019_09,48.0,39.8774831481413,31.47285361319492,27.11243046654596,17.517216522535946
24,220-10026,2019_10,48.0,41.26911620996496,33.15547072204497,27.66590687331336,25.935100392904936
25,220-10026,2019_11,48.0,43.56283480570872,38.10232020146304,28.75334720611573,44.25125916616934
26,220-10026,2019_12,48.0,40.08180063832592,37.568709070553325,26.23790782805412,30.25345583032697
27,220-10039,2019_02,48.0,40.08821222986947,38.2348921268167,26.515117717924568,36.415289820332205
28,220-10039,2019_03,48.0,46.72898431452053,41.5620396272472,26.74107343201996,44.96142181946783
29,220-10039,2019_04,48.0,46.46119407783038,45.298830287445085,29.628796619839136,49.61306978762682
30,220-10039,2019_05,48.0,50.08300338770957,44.09972891387292,28.34774094038113,47.60110091079813
31,220-10039,2019_06,48.0,43.33258232318131,42.81859910870272,28.413359938727524,46.8848055620004
32,220-10039,2019_07,48.0,48.88591412299246,36.20775105076708,28.323306758429453,39.39602339949384
33,220-10039,2019_08,48.0,36.76812262849325,35.32760095385661,26.84143842471548,34.1238737698574
34,220-10039,2019_09,48.0,39.8774831481413,31.47285361319492,27.11243046654596,17.517216522535946
35,220-10039,2019_10,48.0,41.26911620996496,33.15547072204497,27.66590687331336,25.935100392904936
36,220-10047,2019_01,41.0,,,,
37,220-10047,2019_02,41.0,,,,
38,220-10047,2019_03,41.0,,,,
39,220-10047,2019_04,41.0,,,,
40,220-10047,2019_05,41.0,,,,
41,220-10047,2019_06,41.0,,,,
42,220-10047,2019_07,41.0,,,,
43,220-10047,2019_08,48.0,36.76812262849325,35.32760095385661,26.84143842471548,34.1238737698574
44,220-10047,2019_09,48.0,39.8774831481413,31.47285361319492,27.11243046654596,17.517216522535946
45,220-10047,2019_10,48.0,41.26911620996496,33.15547072204497,27.66590687331336,25.935100392904936
46,220-10052,2021_02,44.0,41.36525477856011,38.0121345112119,26.957853912171917,31.319221785332594
47,220-10052,2021_03,44.0,45.31982219624816,40.70513311497443,27.65364520575412,36.99837153652309
48,220-10052,2021_04,44.0,50.3741949608787,45.62717841045892,28.90424363878043,44.5029685940599
49,220-10052,2021_05,44.0,29.658139418797887,41.02650594188332,28.64740251520629,44.5290528704394
50,220-10052,2021_06,44.0,52.53168387604503,38.35925668724289,29.60714219411216,43.0479044977844
51,220-10052,2021_07,44.0,38.72639930634923,29.048710527420887,28.699965413411466,34.02665162467692
52,220-10052,2021_08,45.0,,,,
53,220-10052,2021_09,45.0,,,,
54,220-10052,2021_10,45.0,,,,
55,220-10060,2021_05,90.0,,,,
56,220-10060,2021_06,90.0,,,,
57,220-10060,2021_07,90.0,,,,
58,220-10060,2021_08,90.0,,,,
59,220-10060,2021_09,90.0,,,,
60,220-10060,2021_10,90.0,,,,
61,220-10060,2021_11,90.0,,,,
62,220-10060,2021_12,90.0,,,,
63,220-10060,2022_01,90.0,,,,
64,220-10071,2019_04,48.0,46.46119407783038,45.298830287445085,29.628796619839136,49.61306978762682
65,220-10071,2019_05,48.0,50.08300338770957,44.09972891387292,28.34774094038113,47.60110091079813
66,220-10071,2019_06,48.0,43.33258232318131,42.81859910870272,28.413359938727524,46.8848055620004
67,220-10071,2019_07,48.0,48.88591412299246,36.20775105076708,28.323306758429453,39.39602339949384
68,220-10071,2019_08,48.0,36.76812262849325,35.32760095385661,26.84143842471548,34.1238737698574
69,220-10071,2019_09,48.0,39.8774831481413,31.47285361319492,27.11243046654596,17.517216522535946
70,220-10071,2019_10,48.0,41.26911620996496,33.15547072204497,27.66590687331336,25.935100392904936
