key_0,Total_count,Gambia_count,Kenya_count,Mozambique_count,Heat exposure metric,Total_duration,Gambia_duration,Kenya_duration,Mozambique_duration
hw1a,15 (9 - 17),16 (13 - 18),8 (8 - 9),17 (16 - 18),ERA-5 T2M,5.8 (4.3 - 11.0),6.9 (4.5 - 8.3),12.3 (8.7 - 13.5),4.3 (4.2 - 5.2)
hw1b,11 (6 - 14),12 (10 - 13),6 (6 - 7),14 (11 - 15),ERA-5 T2M,7.5 (5.1 - 13.2),8.6 (5.5 - 10.6),16.8 (9.8 - 17.5),5.0 (4.5 - 6.3)
hw1c,8 (5 - 9),9 (8 - 10),5 (5 - 6),9 (8 - 9),ERA-5 T2M,9.2 (5.8 - 15.3),10.7 (6.1 - 12.3),18.5 (13.2 - 20.4),5.8 (5.5 - 7.5)
hw2a,8 (7 - 10),10 (5 - 15),7 (6 - 8),8 (7 - 11),ERA-5 T2M,4.1 (3.4 - 5.0),4.2 (4.0 - 4.4),5.0 (5.0 - 5.5),3.2 (3.2 - 3.6)
hw2b,5 (4 - 7),7 (4 - 8),6 (4 - 7),5 (4 - 6),ERA-5 T2M,5.1 (4.2 - 6.1),5.7 (5.0 - 6.2),5.8 (5.4 - 6.8),4.2 (4.2 - 4.2)
hw2c,3 (2 - 5),4 (3 - 5),5 (2 - 5),2 (2 - 3),ERA-5 T2M,6.0 (6.0 - 7.0),6.8 (5.0 - 8.4),6.8 (6.4 - 10.0),6.0 (5.3 - 6.0)
hw3a,4 (3 - 6),6 (3 - 7),3 (3 - 4),5 (4 - 7),ERA-5 T2M,3.8 (2.7 - 4.5),4.0 (4.0 - 4.5),4.7 (4.2 - 5.3),2.7 (2.4 - 3.0)
hw3b,2 (2 - 3),3 (2 - 3),2 (2 - 3),2 (1 - 3),ERA-5 T2M,5.0 (4.0 - 6.0),6.0 (5.0 - 7.0),6.0 (5.0 - 7.0),4.0 (3.7 - 4.0)
hw3c,2 (1 - 2),2 (2 - 2),2 (1 - 2),1 (1 - 2),ERA-5 T2M,6.0 (4.0 - 7.0),7.0 (5.0 - 9.0),6.0 (6.0 - 11.0),4.0 (4.0 - 4.0)
hw1a,11 (6 - 16),10 (8 - 11),6 (4 - 8),17 (15 - 18),MERRA-2 T2M,8.8 (5.1 - 20.0),9.7 (8.3 - 11.6),21.0 (15.1 - 27.6),4.9 (4.8 - 5.2)
hw1b,9 (5 - 12),8 (7 - 10),5 (3 - 6),13 (12 - 13),MERRA-2 T2M,10.3 (6.1 - 22.8),11.4 (9.9 - 13.0),25.5 (18.7 - 28.0),5.8 (5.5 - 6.2)
hw1c,7 (5 - 9),6 (4 - 7),5 (3 - 6),9 (8 - 10),MERRA-2 T2M,12.3 (7.2 - 27.1),14.2 (12.3 - 20.5),27.6 (22.4 - 35.5),6.8 (6.6 - 7.5)
hw2a,8 (6 - 9),8 (8 - 9),6 (5 - 8),9 (8 - 11),MERRA-2 T2M,4.3 (3.8 - 8.0),4.1 (3.8 - 4.4),8.0 (6.0 - 8.8),3.7 (3.5 - 3.9)
hw2b,5 (5 - 7),7 (4 - 8),5 (3 - 7),5 (5 - 8),MERRA-2 T2M,5.8 (4.8 - 8.7),5.6 (4.0 - 6.2),9.7 (6.8 - 10.7),5.0 (4.0 - 5.0)
hw2c,4 (3 - 5),5 (4 - 5),4 (3 - 5),4 (3 - 4),MERRA-2 T2M,6.3 (5.8 - 10.5),5.8 (4.7 - 6.2),10.8 (7.8 - 12.4),6.0 (5.0 - 6.3)
hw3a,5 (3 - 7),5 (3 - 5),4 (2 - 9),6 (5 - 7),MERRA-2 T2M,3.5 (3.0 - 4.3),3.4 (3.0 - 5.3),4.3 (3.5 - 4.9),3.0 (2.8 - 3.7)
hw3b,3 (2 - 4),3 (2 - 3),3 (2 - 4),4 (3 - 4),MERRA-2 T2M,4.0 (3.5 - 5.8),4.6 (4.5 - 5.3),6.0 (3.5 - 7.2),3.5 (3.3 - 4.0)
hw3c,2 (1 - 2),2 (2 - 2),2 (1 - 2),2 (1 - 2),MERRA-2 T2M,5.0 (4.0 - 7.0),5.5 (4.5 - 6.5),7.5 (4.0 - 11.5),4.0 (4.0 - 5.0)
