,chu,village,women
0,BUNI,BONJE,67
1,BUNI,BUNI KIBAONI A,165
2,BUNI,BUNI KIBAONI B,32
3,BUNI,BUNI KISWARINI,75
4,BUNI,JITENGE,3
5,BUNI,KIPEVU MBAA,45
6,BUNI,KISURUTINI BUKINI,1
7,BUNI,KOLONGONI,1
8,BUNI,LA MWAJOHA,16
9,BUNI,MUUNGANO SABA,16
10,BUNI,MWANZAGU,55
11,BUNI,MWATSAMA,190
12,BUNI,MWELE B,1
13,CHALANI,MWAMBANI,1
14,KALIANGOMBE,KALIANGOMBE,4
15,KALIANGOMBE,KOKOTONI,3
16,KAMBE,BONDORA,1
17,KAMBE,MAGAONI,1
18,KAMBE,WERUNI,2
19,KANYUMBUNI,KANYUMBUNI,2
20,KOMBENI,BATANI,16
21,KOMBENI,BATANI ASILI,2
22,KOMBENI,BOFU,1
23,KOMBENI,JIMBA A,2
24,KOMBENI,JIMBA MISSION,1
25,KOMBENI,JIMBA MSKITINI,2
26,KOMBENI,KALIANGOMBE A,2
27,KOMBENI,KWA KIJALA,13
28,KOMBENI,LUTSANGANI,2
29,KOMBENI,MIYUNI,3
30,MADZIMBANI,DZIHOSHE I,17
31,MADZIMBANI,DZIHOSHE II,1
32,MADZIMBANI,KABORORINI,2
33,MADZIMBANI,KADZANDANI,6
34,MADZIMBANI,KADZONZO A,159
35,MADZIMBANI,KADZONZO B,33
36,MADZIMBANI,KADZONZO C,8
37,MADZIMBANI,KAFUMBINI,1
38,MADZIMBANI,KAMKOMANI,2
39,MADZIMBANI,KAPTUKU,1
40,MADZIMBANI,KAWALA,1
41,MADZIMBANI,KIBANDAHASARA,8
42,MADZIMBANI,MADZIMBANI A,47
43,MADZIMBANI,MADZIMBANI B,17
44,MADZIMBANI,MGANA,1
45,MADZIMBANI,MIGUNDINI,2
46,MADZIMBANI,MISUFINI,1
47,MADZIMBANI,MKWAJUNI,44
48,MADZIMBANI,MNAGONI,1
49,MADZIMBANI,PEMBE ZA KULO,1
50,MAKOMBOANI,KINANI A,1
51,MAKOMBOANI,KINANI B,1
52,MAZERA,GANGA A,2
53,MAZERA,KASARANI ,2
54,MAZERA,MBUYUNI,1
55,MAZERA,MGANDINI A,1
56,MAZERA,MIWANI,2
57,MBALAMWENI,KIBAO KICHE A,2
58,MIKOMANI,MIKOMANI,3
59,MWARENI,FOREST,58
60,MWARENI,GREEN ESTATE,5
61,MWARENI,JAKABA,260
62,MWARENI,KABENDERRANI,1
63,MWARENI,KAKUNAA,191
64,MWARENI,KAPTUKU,33
65,MWARENI,KARI,1
66,MWARENI,KASARANI K,2
67,MWARENI,MAJENGO CC,89
68,MWARENI,MAJENGO MAKABURINI,125
69,MWARENI,MARKET,5
70,MWARENI,MBUYUNI,2
71,MWARENI,MGANA,2
72,MWARENI,MISUFINI,353
73,MWARENI,MKWAJUNI,176
74,MWARENI,MTSARANI,30
75,MWARENI,MWARENI,369
76,MWARENI,NGWENZENI,1
77,MWARENI,NJORO,218
78,MWARENI,NJORO TAKATIFU,81
79,MWARENI,RAILWAY STATION,3
80,MWARENI,TABORA,116
81,MWARENI,VIL,6
82,MWELE KISURUTINI,BENGO MWARENI,168
83,MWELE KISURUTINI,KAILO MNYALANI,73
84,MWELE KISURUTINI,KISURUTINI BUKINI,62
85,MWELE KISURUTINI,KOLONGONI,7
86,MWELE KISURUTINI,MAUNGONI VUGA,25
87,MWELE KISURUTINI,MBARAKANI A,17
88,MWELE KISURUTINI,MBARAKANI B,9
89,MWELE KISURUTINI,MWELE A,195
90,MWELE KISURUTINI,MWELE B,58
91,MWELE KISURUTINI,SIMAKENI A,128
92,MWELE KISURUTINI,SIMAKENI B,36
93,RIBE,CHAURINGO,1
94,RIBE,MAKOBENI,2
95,VISHAKANI,CHANDANI,3
96,VISHAKANI,KALOLENI CENTRE,6
97,VISHAKANI,NGOME,2
98,VISHAKANI,VISHAKANI,2
