field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
f2a_participant_id,profile_summary,,text,Participant ID (format: 254-#####) (Country Code - Woman ID),,,,,,,,y,RH,,,,
f2a_cohort,profile_summary,Profile,dropdown,Cohort,"1, 1 - Non-pregnant women of reproductive age (WRA) | 2, 2 - Unselected pregnant women (UNS) | 3, 3 - Time of Disease (ToD) - HTN/FGR | 4, 4 - Time of Disease (ToD) - IUFD/SB | 5, 5 - Post-partum Time of Disease (ToD) - IUFD/SB",,,,,,,y,RH,,,,
f2a_full_name,profile_summary,,text,Full Name,,,,,,y,,y,RH,,,,
f2a_national_id,profile_summary,,text,National ID,,,,,,y,,y,RH,,,,
f2a_hdss,profile_summary,,text,HDSS,,,,,,y,,y,RH,,,,
f2a_reminder,profile_summary,,descriptive,"<span style=""color:blue;font-size:1.1em"">Please confirm the contact information is up-to-date.</span>",,,,,,,,,RH,,,,
f2a_phone,profile_summary,,dropdown,Is there a mobile phone that we could reach you on?,"1, Yes - own phone | 2, Yes - husband's phone | 3, Yes - other person's phone | 0, No",,,,,,,y,RH,,,,
f2a_phone_number,profile_summary,,text,"=> If yes, what is the number?",,,,,,y,[f2a_phone] > '0',y,RH,,,,
f2a_phone_2,profile_summary,,dropdown,Is there another mobile phone that we could reach you on?,"1, Yes - own phone | 2, Yes - husband's phone | 3, Yes - other person's phone | 0, No",,,,,,,y,RH,,,,
f2a_phone_number_2,profile_summary,,text,"=> If yes, what is the number?",,,,,,y,[f2a_phone_2] > '0',y,RH,,,,
f2a_sum_ga_today,profile_summary,Summary,calc,"<span style=""color:red""><span style=""background:gold"">Gestational age at today","round((datediff([f2_visit_date],""today"",""d"",""ymd"",true) + round(if([f6a_ga_enrol]>0, [f6a_ga_enrol], [f6a_ga_consent])*7,0))/7,2)",weeks,,,,,,,,,,,@READONLY
f2a_sum_weeks_visit1_to_today,profile_summary,,calc,"<span style=""color:red""><span style=""background:gold"">Number of weeks between PRECISE Visit 1 and Today</span>","round(datediff([f2_visit_date],""today"",""d"",""ymd"",true)/7,2)",weeks,,,,,,,,,,,@READONLY
f2a_sum_desc_start_visit2,profile_summary,,descriptive,"<span style=""color:red"">PRECISE Visit 2 is not done yet.  Please start with PRECISE Visit 2 today if she has not given birth yet.</span>",,,,,,,[f2a_cohort] > 1 and [f2a_cohort] < '4' and [f2a_sum_ga_birth_visit] ='' and [f2a_sum_ga_prc_visit2] = '' and [f2a_sum_ga_today] >=28 and [f2a_sum_weeks_visit1_to_today] >=4,,,,,,
f2a_sum_desc_start_visit2_2,profile_summary,,descriptive,"<span style=""color:blue"">PRECISE Visit 2 is not done yet, but it appears she has given birth.</span>",,,,,,,[f2a_cohort] > 1 and [f2a_cohort] < 4 and [f2a_sum_ga_birth_visit] >0 and [f2a_sum_ga_prc_visit2] = '' and [f2a_sum_ga_today] >=28 and [f2a_sum_weeks_visit1_to_today] >=4,,,,,,
f2a_sum_desc_start_anc_2,profile_summary,,descriptive,"<span style=""color:red"">Warning: The PRECISE Visit 2 should occur on or after 4 weeks (or 28 days) + [f2_visit_date] <b>AND</b> reach at least 28 weeks of gestation. <br/>
It is [f2a_sum_weeks_visit1_to_today] weeks away from PRECISE Visit 1 and today's gestational age is [f2a_sum_ga_today_week] weeks + [f2a_sum_ga_today_day] day(s).  If you want to complete PRECISE Visit 2 today, please ensure it is justified.</span>",,,,,,,[f2a_cohort] > 1 and [f2a_sum_ga_birth_visit] ='' and [f2a_sum_ga_prc_visit2] = '' and ([f2a_sum_ga_today] <28 or ([f2a_sum_weeks_visit1_to_today]>=0.1 and [f2a_sum_weeks_visit1_to_today] <4)),,,,,,
f2a_sum_desc_start_postpartum,profile_summary,,descriptive,"<span style=""color:red"">The participant has given birth.  Please check and ensure both mother and baby information have been collected.</span>",,,,,,,[f2a_sum_ga_birth_visit] >0,,,,,,
f2a_sum_visit1_date,profile_summary,,descriptive,"<span style=""color:blue;font-weight:bold"">Date of PRECISE Visit 1: <span style=""padding-left:30%""> [f2_visit_date] </span></span>
",,,,,,,,,,,,,
f2a_sum_ga_prc_visit1,profile_summary,,calc,Gestational age at PRECISE Visit 1,"if([f6a_ga_enrol]>0, [f6a_ga_enrol], [f6a_ga_consent])",weeks,,,,,,,,,,,@READONLY
f2a_sum_min_visit2_date,profile_summary,,descriptive,Minimum PRECISE Visit 2 Date: <span style=color:blue> 28 days after this date [f2_visit_date]  <span style=color:red>AND</span> at least 28 weeks of gestation</span>,,,,,,,[f2a_cohort] > 1,,,,,,
f2a_sum_visit2_date,profile_summary,,text," <span style=""color:blue"">Date of PRECISE Visit 2",,,date_ymd,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_ga_prc_visit2,profile_summary,,text,Gestational age at PRECISE Visit 2,,weeks  (should be on or after 28 weeks),number,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_wks_prcv1_to_prcv2,profile_summary,,text,Number of weeks from PRECISE Visit 1 to Visit 2,,weeks (should be at least 4 weeks apart),number,,,,[f2a_cohort] > 1,,,,,,@READONLY
f2a_sum_nonprecise_visit_num,profile_summary,,text,Number of ToD-ANC Visits:,,,number,,,,,,,,,,@READONLY
