Variable / Field Name,Form Name,Section Header,Field Type,Field Label,select_choices_or_calculations,Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
f2a_participant_id,profile_summary,,text,Participant ID (format: 258-#####) (Country Code - Woman ID),,,,,,,,y,RH,,,,
f2a_cohort,profile_summary,Profile,dropdown,Cohort,"1, 1 - Non-pregnant women of reproductive age (WRA) | 2, 2 - Unselected pregnant women (UNS)",,,,,,,y,RH,,,,
f2a_full_name,profile_summary,,text,Full Name,,,,,,y,,y,RH,,,,
f2a_national_id,profile_summary,,text,National ID,,,,,,y,,y,RH,,,,
f2a_reminder,profile_summary,,descriptive,"<span style=""color:blue""><span style=""font-size:1.1em"">Please confirm the contact information is up-to-date.</span>",,,,,,,,,RH,,,,
f2a_phone,profile_summary,,dropdown,Is there a mobile phone that we could reach you on?,"1, Yes - own phone | 2, Yes - husband's phone | 3, Yes - other person's phone | 0, No",,,,,,,y,RH,,,,
f2a_phone_number,profile_summary,,text,"=> If yes, what is the number?",,,,,,y,[f2a_phone] > '0',y,RH,,,,
f2a_phone_2,profile_summary,,dropdown,Is there another mobile phone that we could reach you on?,"1, Yes - own phone | 2, Yes - husband's phone | 3, Yes - other person's phone | 0, No",,,,,,,y,RH,,,,
f2a_phone_number_2,profile_summary,,text,"=> If yes, what is the number?",,,,,,y,[f2a_phone_2] > '0',y,RH,,,,
f2a_sum_ga_today,profile_summary,Summary,calc,"<span style=""color:red""><span style=""background:gold"">Gestational age at today","round((datediff([precise_visit_1_arm_1][f2_visit_date],""today"",""d"",""ymd"",true) + round(if([precise_visit_1_arm_1][f6a_ga_enrol]>0, [precise_visit_1_arm_1][f6a_ga_enrol], [precise_visit_1_arm_1][f6a_ga_consent])*7,0))/7,2)",weeks,,,,,,,RH,,,,
f2a_sum_ga_today_week,profile_summary,,calc,"<span style=""color:red""><span style=""background:gold"">Gestational age at today - weeks","rounddown((datediff([precise_visit_1_arm_1][f2_visit_date],""today"",""d"",""ymd"",true) + round(if([precise_visit_1_arm_1][f6a_ga_enrol]>0, [precise_visit_1_arm_1][f6a_ga_enrol], [precise_visit_1_arm_1][f6a_ga_consent])*7,0))/7,0)",weeks,,,,,,,RH,,,, @HIDDEN
f2a_sum_ga_today_day,profile_summary,,calc,"<span style='margin-left:10em'><span style=""color:red""><span style=""background:gold"">+ day(s)","round(([f2a_sum_ga_today] - [f2a_sum_ga_today_week])*7, 0)",day(s),,,,,,,RH,,,, @HIDDEN
f2a_sum_weeks_visit1_to_today,profile_summary,,calc,"<span style=""color:red""><span style=""background:gold"">Number of weeks between PRECISE Visit 1 and Today</span>","round(datediff([precise_visit_1_arm_1][f2_visit_date],""today"",""d"",""ymd"",true)/7,2)",weeks,,,,,,,RH,,,,
f2a_sum_desc_start_visit2,profile_summary,,descriptive,"<span style=""color:red"">PRECISE Visit 2 is not done yet.  Please start with PRECISE Visit 2 today if she has not given birth yet.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] > 1 and [profile_summary_arm_1][f2a_cohort] < '4' and [f2a_sum_ga_birth_visit] ='' and [f2a_sum_ga_prc_visit2] = '' and [f2a_sum_ga_today] >=28 and [f2a_sum_weeks_visit1_to_today] >=4,,RH,,,,
f2a_sum_desc_start_visit2_2,profile_summary,,descriptive,"<span style=""color:blue"">PRECISE Visit 2 is not done yet, but it appears she has given birth.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] > 1 and [profile_summary_arm_1][f2a_cohort] < '4' and [f2a_sum_ga_birth_visit] >0 and [f2a_sum_ga_prc_visit2] = '' and [f2a_sum_ga_today] >=28 and [f2a_sum_weeks_visit1_to_today] >=4,,,,,,
f2a_sum_desc_start_anc,profile_summary,,descriptive,"<span style=""color:red"">There is no delivery information.  Please start with ""non-PRECISE ANC Visit"" if she has routine antenatal care, OR ""Birth Visit"" if she is about to give birth.</span>",,,,,,,[profile_summary_arm_1][f2a_cohort] > 1 and [f2a_sum_weeks_visit1_to_today]>=0.1 and [f2a_sum_ga_birth_visit] ='' and (([f2a_sum_ga_prc_visit2] = '' and ([f2a_sum_ga_today] <28 or [f2a_sum_weeks_visit1_to_today] <4)) or [f2a_sum_ga_prc_visit2]>0),,RH,,,,
